last_name;first_name;country_code;gender;discipline
Nawrath;Philipp;GER;m;biathlon
Samuelsson;Sebastian;SWE;m;biathlon
Boe;Tarjei;NOR;m;biathlon
Strelow;Justus;GER;m;biathlon
Stroemsheim;Endre;NOR;m;biathlon
Christiansen;Vetle Sjaastad;NOR;m;biathlon
Soerum;Vebjoern;NOR;m;biathlon
Boe;Johannes Thingnes;NOR;m;biathlon
Stalder;Sebastian;SUI;m;biathlon
Dale-Skjevdal;Johannes;NOR;m;biathlon
Rees;Roman;GER;m;biathlon
Claude;Fabien;FRA;m;biathlon
Giacomel;Tommaso;ITA;m;biathlon
Kuehn;Johannes;GER;m;biathlon
Doll;Benedikt;GER;m;biathlon
Rastorgujevs;Andrejs;LAT;m;biathlon
Ponsiluoma;Martin;SWE;m;biathlon
Laegreid;Sturla Holm;NOR;m;biathlon
Bionaz;Didier;ITA;m;biathlon
Leitner;Felix;AUT;m;biathlon
Hofer;Lukas;ITA;m;biathlon
Fillon Maillet;Quentin;FRA;m;biathlon
Perrot;Eric;FRA;m;biathlon
Magazeev;Pavel;MDA;m;biathlon
Jacquelin;Emilien;FRA;m;biathlon
Krcmar;Michal;CZE;m;biathlon
Guigonnat;Antonin;FRA;m;biathlon
Eder;Simon;AUT;m;biathlon
Vidmar;Anton;SLO;m;biathlon
Zobel;David;GER;m;biathlon
Mukhin;Alexandr;KAZ;m;biathlon
Claude;Emilien;FRA;m;biathlon
Langer;Thierry;BEL;m;biathlon
Coltea;George;ROU;m;biathlon
Claude;Florent;BEL;m;biathlon
Nelin;Jesper;SWE;m;biathlon
Strolia;Vytautas;LTU;m;biathlon
Planko;Lovro;SLO;m;biathlon
Fak;Jakov;SLO;m;biathlon
Marecek;Jonas;CZE;m;biathlon
Makarov;Maksim;MDA;m;biathlon
Hartweg;Niklas;SUI;m;biathlon
Oberhauser;Magnus;AUT;m;biathlon
Dovzan;Miha;SLO;m;biathlon
Komatz;David;AUT;m;biathlon
Vaclavik;Adam;CZE;m;biathlon
Finello;Jeremy;SUI;m;biathlon
Hiidensalo;Olli;FIN;m;biathlon
Karlik;Mikulas;CZE;m;biathlon
Zahkna;Rene;EST;m;biathlon
Gunka;Jan;POL;m;biathlon
Seppala;Tero;FIN;m;biathlon
Dudchenko;Anton;UKR;m;biathlon
Gow;Christian;CAN;m;biathlon
Tyshchenko;Artem;UKR;m;biathlon
Preuss;Franziska;GER;f;biathlon
Jeanmonnot;Lou;FRA;f;biathlon
Voigt;Vanessa;GER;f;biathlon
Knotten;Karoline Offigstad;NOR;f;biathlon
Vittozzi;Lisa;ITA;f;biathlon
Arnekleiv;Juni;NOR;f;biathlon
Tandrevold;Ingrid Landmark;NOR;f;biathlon
Johansen;Marthe Krakstad;NOR;f;biathlon
Oeberg;Hanna;SWE;f;biathlon
Haecki-Gross;Lena;SUI;f;biathlon
Persson;Linn;SWE;f;biathlon
Hauser;Lisa Theresa;AUT;f;biathlon
Wierer;Dorothea;ITA;f;biathlon
Simon;Julia;FRA;f;biathlon
Hettich-Walz;Janina;GER;f;biathlon
Oeberg;Elvira;SWE;f;biathlon
Braisaz-Bouchet;Justine;FRA;f;biathlon
Chauveau;Sophie;FRA;f;biathlon
Passler;Rebecca;ITA;f;biathlon
Brorsson;Mona;SWE;f;biathlon
Schneider;Sophia;GER;f;biathlon
Maka;Anna;POL;f;biathlon
Gasparin;Elisa;SUI;f;biathlon
Tomingas;Tuuli;EST;f;biathlon
Skogan;Marit Ishol;NOR;f;biathlon
Grotian;Selina;GER;f;biathlon
Baserga;Amy;SUI;f;biathlon
Steiner;Tamara;AUT;f;biathlon
Stremous;Alina;MDA;f;biathlon
Guigonnat;Gilonne;FRA;f;biathlon
Lie;Lotte;BEL;f;biathlon
Jakiela;Joanna;POL;f;biathlon
Chevalier;Chloe;FRA;f;biathlon
Kuelm;Susan;EST;f;biathlon
Lampic;Anamarija;SLO;f;biathlon
Davidova;Marketa;CZE;f;biathlon
Dimitrova;Valentina;BUL;f;biathlon
Comola;Samuela;ITA;f;biathlon
Petrenko;Iryna;UKR;f;biathlon
Bulina;Sanita;LAT;f;biathlon
Gasparin;Aita;SUI;f;biathlon
Jislova;Jessica;CZE;f;biathlon
Gandler;Anna;AUT;f;biathlon
Kebinger;Hanna;GER;f;biathlon
Vobornikova;Tereza;CZE;f;biathlon
Irwin;Deedra;USA;f;biathlon
Minkkinen;Suvi;FIN;f;biathlon
Repinc;Lena;SLO;f;biathlon
Auchentaller;Hannah;ITA;f;biathlon
Dickinson;Kelsey Joan;USA;f;biathlon
Bendika;Baiba;LAT;f;biathlon
Peiffer;Benita;CAN;f;biathlon
Oberthaler;Kristina;AUT;f;biathlon
Johansson;Tilda;SWE;f;biathlon
Kryvonos;Anna;UKR;f;biathlon
